"Data published in District Resource Statement","Data as of","Borough","Community District","DRS Medicaid (MA) Only Enrollees","DRS Total Medicaid (MA) Enrollees","DRS Cash Assistance (CA) Recipients","DRS Cash Assistance (CA) Cases","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients","DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households"
"FY 2020","10/31/2019","BRONX","B05","16,137","44,086","16,044","8,256","50,447","27,675"
"FY 2020","10/31/2019","BRONX","B06","9,762","33,149","13,220","6,628","36,896","20,018"
"FY 2020","10/31/2019","BRONX","B07","15,986","38,951","12,647","6,693","42,216","24,265"
"FY 2020","10/31/2019","BRONX","B08","8,332","15,745","3,149","1,671","15,053","9,105"
"FY 2020","10/31/2019","BRONX","B09","19,644","45,348","13,313","6,758","48,769","27,037"
"FY 2020","10/31/2019","BRONX","B10","8,646","16,697","3,629","1,915","16,726","10,284"
"FY 2020","10/31/2019","BRONX","B11","10,986","22,800","5,528","2,992","22,165","13,028"
"FY 2020","10/31/2019","BRONX","B12","12,565","33,577","12,268","6,132","34,982","19,260"
"FY 2020","10/31/2019","BROOKLYN","K01","32,584","45,503","6,554","2,513","49,149","19,483"
"FY 2020","10/31/2019","BROOKLYN","K02","6,331","12,969","2,975","1,854","12,666","8,545"
"FY 2020","10/31/2019","BROOKLYN","K03","17,775","36,751","9,694","5,097","41,267","22,328"
"FY 2020","10/31/2019","BROOKLYN","K04","10,549","20,662","4,010","2,247","22,230","13,661"
"FY 2020","10/31/2019","BROOKLYN","K05","22,485","49,973","13,928","7,318","59,271","34,047"
"FY 2020","10/31/2019","BROOKLYN","K06","4,761","9,604","1,928","1,183","9,783","6,519"
"FY 2020","10/31/2019","BROOKLYN","K07","18,896","26,187","2,795","1,673","19,420","11,596"
"FY 2020","10/31/2019","BROOKLYN","K08","7,987","18,080","4,882","2,930","18,755","12,162"
"FY 2020","10/31/2019","BROOKLYN","K09","10,116","18,171","3,889","2,317","19,156","11,736"
"FY 2020","10/31/2019","BROOKLYN","K10","15,085","20,561","1,804","1,148","15,813","9,427"
"FY 2020","10/31/2019","BROOKLYN","K11","28,503","41,081","2,996","1,796","32,991","19,799"
"FY 2020","10/31/2019","BROOKLYN","K12","45,024","60,658","9,500","2,448","58,031","18,791"
"FY 2020","10/31/2019","BROOKLYN","K13","14,824","32,574","4,760","2,430","30,154","20,217"
"FY 2020","10/31/2019","BROOKLYN","K14","18,298","29,758","4,263","2,461","28,094","16,796"
"FY 2020","10/31/2019","BROOKLYN","K15","19,101","30,741","2,926","1,640","25,896","16,331"
"FY 2020","10/31/2019","BROOKLYN","K16","10,222","30,802","11,355","5,672","35,122","19,838"
"FY 2020","10/31/2019","BROOKLYN","K17","13,218","26,724","7,320","4,365","27,874","17,953"
"FY 2020","10/31/2019","BROOKLYN","K18","15,551","27,356","5,209","2,838","26,542","16,011"
"FY 2020","10/31/2019","MANHATTAN","M01","1,421","2,856","710","558","2,188","1,769"
"FY 2020","10/31/2019","MANHATTAN","M02","2,430","3,490","315","276","2,696","2,201"
"FY 2020","10/31/2019","MANHATTAN","M03","21,544","39,209","6,078","3,996","35,031","24,086"
"FY 2020","10/31/2019","MANHATTAN","M04","5,455","12,026","2,929","2,125","11,334","8,510"
"FY 2020","10/31/2019","MANHATTAN","M05","1,593","6,167","2,542","1,547","5,424","3,731"
"FY 2020","10/31/2019","MANHATTAN","M06","2,917","5,405","1,031","854","4,929","4,260"
"FY 2020","10/31/2019","MANHATTAN","M07","7,806","16,233","3,326","2,324","15,410","11,599"
"FY 2020","10/31/2019","MANHATTAN","M08","4,001","6,609","785","573","5,292","4,211"
"FY 2020","10/31/2019","MANHATTAN","M09","8,940","19,419","4,710","2,967","20,503","13,547"
"FY 2020","10/31/2019","MANHATTAN","M10","10,778","26,635","7,930","4,952","29,595","19,097"
"FY 2020","10/31/2019","MANHATTAN","M11","14,883","36,567","9,793","5,976","39,590","24,933"
"FY 2020","10/31/2019","MANHATTAN","M12","21,797","40,599","6,252","4,097","42,273","29,176"
"FY 2020","10/31/2019","QUEENS","Q01","16,352","25,103","3,865","2,283","20,890","12,612"
"FY 2020","10/31/2019","QUEENS","Q02","11,619","15,245","1,651","1,073","9,850","6,266"
"FY 2020","10/31/2019","QUEENS","Q03","23,842","29,673","2,518","1,604","21,578","12,540"
"FY 2020","10/31/2019","QUEENS","Q04","25,968","32,509","2,529","1,648","22,990","13,515"
"FY 2020","10/31/2019","QUEENS","Q05","14,085","18,906","1,875","1,199","16,386","9,678"
"FY 2020","10/31/2019","QUEENS","Q06","8,357","12,188","753","529","9,386","6,659"
"FY 2020","10/31/2019","QUEENS","Q07","32,845","42,132","3,524","2,388","24,665","16,398"
"FY 2020","10/31/2019","QUEENS","Q08","15,445","22,177","2,835","1,816","16,370","10,048"
"FY 2020","10/31/2019","QUEENS","Q09","15,574","22,371","2,893","1,813","19,418","11,382"
"FY 2020","10/31/2019","QUEENS","Q10","11,202","16,634","2,233","1,359","14,660","8,934"
"FY 2020","10/31/2019","QUEENS","Q11","9,259","11,514","768","531","6,420","4,367"
"FY 2020","10/31/2019","QUEENS","Q12","23,031","41,105","9,492","5,682","40,591","24,923"
"FY 2020","10/31/2019","QUEENS","Q13","13,614","21,239","3,600","2,326","17,962","11,641"
"FY 2020","10/31/2019","QUEENS","Q14","11,727","27,828","7,641","3,517","27,257","14,897"
"FY 2020","10/31/2019","STATEN ISLAND","S01","15,714","35,082","10,705","5,036","34,581","18,443"
"FY 2020","10/31/2019","STATEN ISLAND","S02","11,385","17,435","2,375","1,336","13,632","8,127"
"FY 2020","10/31/2019","STATEN ISLAND","S03","8,215","11,813","1,254","759","9,489","6,108"
"FY 2021","10/31/2020","BRONX","B01","13,067","38,162","14,087","7,569","46,995","25,624"
"FY 2021","10/31/2020","BRONX","B02","6,035","18,663","7,019","3,650","23,031","12,780"
